Rank,Date,Model Name,Institution,Model URL,BLEU,BertScore,SembScore,RadGraph,1/RadCliQ-v1,RaTEScore,GREEN,CRIMSON
1,2024,CheXagent,Stanford,https://github.com/Stanford-AIMI/CheXagent,0.095,0.301,0.365,0.08,0.67,0.428,0.241,0.339
2,2024,CheXpertPlus-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.156,0.341,0.44,0.131,0.777,0.501,0.52,0.342
3,2024,CheXpertPlus-CheX,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.144,0.36,0.428,0.124,0.783,0.476,0.411,0.121
4,2024,CheXpertPlus-CheX-MIMIC,Stanford,https://github.com/Stanford-AIMI/chexpert-plus,0.169,0.371,0.44,0.153,0.827,0.517,0.489,0.358
5,2023,Cvt2distilgpt2-MIMIC,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.186,0.374,0.458,0.175,0.862,0.524,0.514,0.368
6,2023,Cvt2distilgpt2-IU,CSIRO,https://github.com/aehrc/cvt2distilgpt2,0.176,0.389,0.403,0.166,0.834,0.52,0.47,0.357
7,2024,MedVersa,Harvard,https://huggingface.co/hyzhou/MedVersa/tree/main,0.205,0.419,0.497,0.2,0.986,0.527,0.532,0.382
8,2023,RadFM,SJTU,https://github.com/chaoyi-wu/RadFM,0.156,0.347,0.394,0.134,0.759,0.504,0.406,0.154
9,2023,RaDialog,TUM,https://github.com/ChantalMP/RaDialog,0.184,0.38,0.446,0.156,0.844,0.522,0.435,0.269
10,2023,RGRG,TUM,https://github.com/ttanida/rgrg,0.178,0.37,0.464,0.167,0.855,0.54,0.487,0.246
11,2023,VLCI-MIMIC,SYSU,https://github.com/WissingChen/VLCI,0.158,0.311,0.4,0.122,0.72,0.488,0.477,0.317
12,2023,VLCI-IU,SYSU,https://github.com/WissingChen/VLCI,0.214,0.366,0.466,0.213,0.895,0.573,0.536,0.35
13,2024,LLM-CXR,KAIST,https://github.com/hyn2028/llm-cxr,0.044,0.184,0.137,0.031,0.507,0.317,0.044,-0.424
14,2024,GPT4V,OpenAI,https://cdn.openai.com/papers/GPTV-System-Card.pdf,0.074,0.198,0.337,0.135,0.617,0.47,0.497,0.141
15,2024,BiomedGPT-IU,Lehigh University,https://github.com/taokz/BiomedGPT,0.159,0.326,0.454,0.164,0.796,0.472,0.388,0.334
16,2024,MAIRA-2,Microsoft,https://huggingface.co/microsoft/maira-2,0.2,0.414,0.463,0.185,0.93,0.559,0.531,0.391
17,2024,CXRMate-ED,CSIRO,https://huggingface.co/aehrc/cxrmate-ed,0.205,0.416,0.416,0.187,0.895,0.564,0.518,0.293
18,2024,CXRMate-RRG24,CSIRO,https://huggingface.co/aehrc/cxrmate-rrg24,0.151,0.349,0.463,0.152,0.817,0.518,0.408,0.379
19,2024,Libra,University of Glasgow,https://github.com/X-iZhang/Libra,0.165,0.387,0.474,0.168,0.885,0.544,0.555,0.344
20,2025,MoERad-IU,IIT Madras,https://github.com/gssriram/MoERad,0.227,0.439,0.446,0.247,1.025,0.575,0.494,0.363
21,2025,MoERad-MIMIC,IIT Madras,https://github.com/gssriram/MoERad,0.145,0.352,0.406,0.116,0.757,0.508,0.431,0.249
22,2025,DD-LLaVA-X,SNUH,https://github.com/Gavroche11/rexrank-submission,0.166,0.388,0.469,0.174,0.888,0.542,0.504,0.316
23,2025,MedGemma,Google,https://huggingface.co/google/medgemma-4b-it,0.2,0.428,0.479,0.223,1.01,0.617,0.566,0.282
24,2025,UniRG-CXR,Microsoft Research,https://arxiv.org/abs/2601.17151,0.284,0.506,0.581,0.301,1.509,0.618,0.469,0.315
25,2026,CARE-X,Microsoft Research,https://www.microsoft.com/en-us/research,0.307,0.529,0.568,0.322,1.635,0.653,0.506,0.438
26,2025,CheXOne-R1,Stanford,https://github.com/YBZh/CheXOne-R1,0.222,0.45,0.501,0.21,1.056,0.535,0.428,0.127
27,2025,zzy-RGv1-8b,Individual,,0.208,0.439,0.511,0.217,1.057,0.593,0.493,0.363
28,2025,CX-Mind,SJTU,https://arxiv.org/pdf/2508.03733,0.185,0.435,0.464,0.166,0.941,0.574,0.499,0.339
29,2026,MedGemma 1.5 4B, Google,https://deepmind.google/models/gemma/medgemma/,0.196,0.36,0.505,0.215,0.921,0.61,0.542,0.288
30,2025,zzy-RGv2-2b,Individual,,0.279,0.498,0.56,0.282,1.391,0.627,0.515,0.417
31,2026,Deepwise-RG,Deepwise,https://www.deepwise.com/,0.351,0.551,0.606,0.356,2.021,0.661,0.552,0.442
